year,MF.Total,F.Total,M.Total,F2,F3,F4,F5,F6,M2,M3,M4,M5,M6,GDPchange,MHSpend,MF.Employ,M.Employ,F.Employ,Recession,MF.Unemploy,M.Unemploy,F.Unemploy
1/01/1985,16.28,7.2,25.36,5.29,5.02,7.8,8.47,9.4,23.23,27.48,21.55,23.95,30.59,3.82,75.64,55.78,69.74,42.22,0,8.26,7.94,8.77
1/01/1986,17.43,7.06,27.8,5.86,6.77,8.95,8.04,5.68,21.62,27.86,24.7,26.74,38.08,2.35,81.24,56.88,70.04,44.09,0,8.08,7.67,8.71
1/01/1987,18.83,7.11,30.54,5.49,5.27,7.43,8.34,9.02,25.58,27.79,27.28,26.73,45.34,1.01,86.85,56.93,69.49,44.71,0,8.11,7.76,8.63
1/01/1988,17.88,7.28,28.47,3.95,7.82,7.78,7.74,9.13,26.22,28.94,25.37,25.55,36.27,4.03,92.45,57.87,70.14,45.92,0,7.84,7.35,8.57
1/01/1989,16.74,6.48,27,3.78,6.29,6.23,9.25,6.86,25.23,29.02,22.02,24.62,34.1,2.12,98.06,59.26,71.14,47.72,0,5.56,5.13,6.18
1/01/1990,14.36,5.67,23.06,4.72,7.78,6.31,7.26,7.95,26.6,29.54,24.72,25.66,31.42,2.05,103.67,59.33,70.5,48.49,0,6.92,6.73,7.19
1/01/1991,15.01,5.95,24.08,6.2,6.46,7.62,7.05,8.11,25.18,30.14,27.68,21.28,39.64,-1.66,109.27,57.09,67.27,47.22,1,9.58,9.89,9.14
1/01/1992,14.22,5.89,22.55,5.62,6.8,6.31,7.41,9.05,27.33,28.72,24.78,25.01,29.14,-0.8,119.33,56.12,65.75,46.78,0,10.73,11.31,9.93
1/01/1993,12.91,4.7,21.13,3.72,5.39,6.88,5.39,6.66,23.69,27.73,21.89,22.19,30.87,3.02,118.13,55.66,65.08,46.53,0,10.88,11.51,10
1/01/1994,13.98,4.85,23.11,4.12,6.23,6.75,5.6,6.31,27,30.11,26.54,23.12,31.66,2.89,123.03,56.82,66.26,47.67,0,9.72,9.98,9.37
1/01/1995,12.93,5.09,20.78,6.13,6.42,7.28,5.52,5.19,23.13,30.96,23.41,20.05,26.8,2.59,128.45,58.16,67.36,49.25,0,8.47,8.74,8.11
1/01/1996,14.61,5,24.23,4.5,6.85,7.15,5.95,4.97,26.83,32.91,25.99,23.79,35.25,2.52,136.13,58.12,67.17,49.36,0,8.51,8.71,8.24
1/01/1997,15.58,6.09,25.07,6.65,7.56,8.38,6.55,6.83,30.37,36.82,27.24,21.54,33.92,2.81,141.66,57.84,66.74,49.26,0,8.36,8.58,8.07
1/01/1998,14.7,5.7,23.7,6.33,7.55,7.53,6.06,6.58,26.53,40.37,28.76,20.83,25.28,3.49,145.21,58.16,66.92,49.71,0,7.68,7.94,7.33
1/01/1999,13.93,4.93,22.93,5.48,8.1,7.35,4.88,3.33,22.84,35.69,27.11,21.25,29.93,3.88,149.78,58.45,67.16,50.06,0,6.87,7.04,6.66
1/01/2000,13.15,5.22,21.08,6.07,7.33,7.19,5.62,5.05,20.33,32.57,26.9,18.46,27.64,2.7,155.69,59.17,67.44,51.2,0,6.29,6.46,6.07
1/01/2001,13.23,5.26,21.21,4.83,7.54,7.99,5.11,5.76,20.72,34.25,26.82,18.9,26.28,0.57,161.72,59.03,66.85,51.5,0,6.74,6.98,6.44
1/01/2002,12.06,5.02,19.1,4.41,7.13,7.49,5.6,5.17,17.92,31.54,26.38,16.35,22.1,2.74,168.51,59.33,67.1,51.84,0,6.37,6.53,6.16
1/01/2003,11.15,4.5,17.81,3.6,7.34,6.8,5.36,3.35,17.42,27.41,23.02,16.89,21.62,1.72,173.93,59.82,67.33,52.57,0,5.93,5.89,5.98
1/01/2004,11.15,4.41,17.89,4.91,5.67,6.3,3.96,5.51,14.43,26.78,22.83,17.02,25.77,2.86,182.42,60.03,67.73,52.6,0,5.4,5.28,5.54
1/01/2005,12.67,5.2,20.15,4.2,5.55,6.15,4.975,5.1,16.1,25.05,23.55,14.43,21.6,1.85,190.95,61.16,68.57,53.99,0,5.03,4.88,5.22
1/01/2006,10.66,4.78,16.54,4.9,5.12,6.65,6.4,5.52,15.9,19.2,23.7,17.43,22.49,1.29,200.2,61.66,68.86,54.69,0,4.78,4.67,4.92
1/01/2007,10.85,4.79,16.92,4.58,6.16,7.24,6.17,4.28,15.44,23.19,23.07,16.25,23,3.2,208.67,62.32,69.58,55.29,0,4.38,4.04,4.79
1/01/2008,10.87,4.37,17.38,4.07,6.02,7.53,4.91,3.45,14.61,23.41,25.37,18.45,21.88,1.6,213.65,62.71,69.75,55.87,0,4.23,3.95,4.57
1/01/2009,13.39,5.89,20.88,4.5,6.8,7.2,5.55,5.4,13.4,21.8,24.95,17.15,27.1,-0.14,219.6,61.79,68.19,55.57,1,5.56,5.69,5.4
1/01/2010,13.55,5.87,21.22,5.4,6.3,7.45,4.9,5.3,14.4,20.1,27.45,17.6,26.55,0.49,228.27,61.98,68.69,55.46,0,5.21,5.08,5.38
1/01/2011,13.58,6.08,21.08,6.2,5.4,7.35,5.35,6.1,15.4,21.5,22.95,17.15,28.4,1.05,231.14,62.1,68.64,55.74,0,5.08,4.89,5.31
1/01/2012,14.15,6.51,21.79,7.2,6,8.2,5.45,5.7,13.7,21.2,25.85,18.05,30.15,2.12,227.35,61.75,68.04,55.64,0,5.22,5.14,5.33
1/01/2013,14.15,6.53,21.76,6.2,5.7,8.65,6.2,5.9,16.8,19.3,24.15,18.6,29.95,0.83,231.47,61.26,67.31,55.39,0,5.66,5.71,5.61
1/01/2014,15.34,6.89,23.78,6.4,7,8.7,6.65,5.7,17.2,23.4,27.9,20.5,29.9,1.02,234.4,60.77,66.7,55.03,0,6.08,6,6.17
1/01/2015,16.08,7.27,24.88,7.2,6.7,9.65,6.5,6.3,17.8,24.1,30.6,19.85,32.05,0.73,236.75,61.06,66.79,55.52,0,6.06,6.04,6.08
1/01/2016,15.17,7.19,23.14,6.5,8,8.7,5.6,7.15,18.8,24.2,25,18.8,28.9,1.18,238.7,61.16,66.61,55.91,0,5.71,5.65,5.78
1/01/2017,15.36,7.13,23.59,6.6,7.2,9.25,7,5.6,18.4,25.3,27.65,21.65,24.95,0.66,243.76,61.52,66.78,56.45,0,5.6,5.53,5.67
1/01/2018,14.92,6.59,23.24,6.4,6.3,8.35,6.1,5.8,20.2,22.7,26.55,20.35,26.4,1.33,260.6429846,62.15,67.21,57.28,1,5.3,5.28,5.32
